country,country_code,sector,subsector,btype,bage,topic,feature,type,detail,estimated,value,unit,source,,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,BUILDING,Construction features (U-values),Windows ,,0,2.48033972175677,dimensionless,Source residential part: IEE TABULA Project, TABULA Web Tool, 2017 http://webtool.building-typology.eu/#bm; Source service part: S. Birchall et al., D2.1a Survey on the energy needs and architectural features of the EU building stock,2014
Austria,at,Residential sector,Total,Total,1970 - 1979,BUILDING,Construction features (U-values),Roof ,,0,0.791867236298606,dimensionless,Source residential part: IEE TABULA Project, TABULA Web Tool, 2017 http://webtool.building-typology.eu/#bm; Source service part: S. Birchall et al., D2.1a Survey on the energy needs and architectural features of the EU building stock,2014
Austria,at,Residential sector,Total,Total,1970 - 1979,BUILDING,Construction features (U-values),Floor ,,0,0.698951932008595,dimensionless,Source residential part: IEE TABULA Project, TABULA Web Tool, 2017 http://webtool.building-typology.eu/#bm; Source service part: S. Birchall et al., D2.1a Survey on the energy needs and architectural features of the EU building stock,2014
Austria,at,Residential sector,Total,Total,1970 - 1979,WALLS,construction material,brick,,0,0.733225009397271,dimensionless,Source residential part: Own calculations,,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,WALLS,construction material,concrete,,0,0.266774990602729,dimensionless,Source residential part: Own calculations,,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,WALLS,construction methodology,honeycomb bricks / hollow blocks wall,,0,0.842007080527481,dimensionless,Source residential part: Own calculations,,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,WALLS,construction methodology,other,,0,0.157992919472519,dimensionless,Source residential part: Own calculations,,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,WINDOWS,construction material,wood,,0,0.554391035565105,dimensionless,Source residential part: Own calculations,,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,WINDOWS,construction material,synthetic / pvc,,0,0.445608964434895,dimensionless,Source residential part: Own calculations,,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,WINDOWS,construction methodology,single glazing,,0,0.108782071130211,dimensionless,Source residential part: Own calculations,,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,WINDOWS,construction methodology,double glazing,,0,0.891217928869789,dimensionless,Source residential part: Own calculations,,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,ROOF,construction material,wood,,0,0.108782071130211,dimensionless,Source residential part: Own calculations,,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,ROOF,construction material,concrete,,0,0.891217928869789,dimensionless,Source residential part: Own calculations,,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,ROOF,construction material,tilted roof,,0,1,dimensionless,Source residential part: Own calculations,,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,ROOF,construction material,,insulation,0,0.842007080527481,dimensionless,Source residential part: Own calculations,,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,FLOOR,construction material,concrete,,0,1,dimensionless,Source residential part: Own calculations,,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,FLOOR,construction methodology,concrete slab,,0,1,dimensionless,Source residential part: Own calculations,,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,FLOOR,construction methodology,,insulation,0,0.733225009397271,dimensionless,Source residential part: Own calculations,,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,ENERGY,Useful energy demand,Space heating [kWh/m² year],,0,148.216217918441,kWh/m²/year,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,ENERGY,Useful energy demand,Space cooling [kWh/m² year],,0,31.7013187684759,kWh/m²/year,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/,,,
